epoch,train_loss,eval_loss,eval_psnr,eval_ssim,eval_mae,eval_rmse,eval_zncc
113,28071.39502,10390.917991,-39.7852,0.403,,,
114,26727.114746,9608.510587,-39.4561,0.4195,,,
115,27429.330566,8443.809304,-38.9298,0.4228,,,
116,28802.177734,8339.178334,-38.8804,0.4157,,,
117,25604.840576,8028.927379,-38.7212,0.4122,,,
118,24399.44873,7594.85649,-38.4845,0.4113,,,
119,27432.254883,6274.16222,-37.7417,0.4028,,,
120,26573.724609,6587.907937,-37.9135,0.4087,,,
121,27226.121582,7236.318581,-38.2639,0.4116,,,
122,28431.430176,5506.385875,-37.2291,0.3941,,,
123,26852.911621,5348.5538,-37.1205,0.3905,,,
124,27062.423828,5771.386186,-37.4202,0.3987,,,
125,25506.759277,6508.132812,-37.8838,0.4106,,,
126,25130.340332,5609.844549,-37.3424,0.3986,,,
127,27309.812012,5242.742276,-37.0906,0.393,,,
128,25671.706055,5559.857511,-37.3043,0.3938,,,
129,27837.562988,6064.865012,-37.6208,0.4041,,,
130,27274.963867,5338.294633,-37.1461,0.3898,,,
131,27693.019531,5117.551003,-36.9658,0.3905,,,
132,24695.845215,6192.623247,-37.6787,0.4158,,,
133,27756.623047,5738.701438,-37.4023,0.4231,,,
134,26536.548828,4852.253196,-36.7289,0.4119,,,
135,25413.857422,5180.216752,-37.0263,0.4052,,,
136,25713.433105,6389.792791,-37.8153,0.4224,,,
137,25133.661133,5290.05522,-37.0992,0.4229,,,
138,25124.810547,4808.92658,-36.7184,0.4095,,,
139,26635.012695,5389.951083,-37.1746,0.3991,,,
140,26074.52002,5933.008922,-37.5326,0.3992,,,
141,26426.04248,5281.193049,-37.114,0.3901,,,
142,27075.807129,4931.565563,-36.8375,0.4008,,,
143,25493.217285,4940.90059,-36.8217,0.4115,,,
144,26550.07373,5468.332187,-37.205,0.4232,,,
145,27997.134277,4866.114968,-36.7724,0.4028,,,
146,24939.900391,5087.693936,-36.9253,0.4082,,,
147,25790.60791,5230.270219,-36.9975,0.4157,,,
148,25280.302734,4891.105247,-36.7527,0.4152,,,
149,23658.42041,5010.264471,-36.8475,0.4201,,,
150,25976.558105,4840.471302,-36.6742,0.4204,,,
151,24658.086914,4675.457053,-36.529,0.4318,,,
152,26636.488281,4512.745117,-36.346,0.4508,,,
153,24336.461914,4646.923118,-36.5522,0.4319,,,
154,26416.632324,4586.281095,-36.4953,0.4354,,,
155,23291.713379,4540.925537,-36.4384,0.4462,,,
156,25022.14502,4418.904053,-36.2686,0.4565,,,
157,25414.783691,4362.351163,-36.2135,0.4543,,,
158,24052.051758,4410.139471,-36.2783,0.4687,,,
159,25598.832031,4077.276789,-35.9057,0.4916,,,
160,24005.70459,3819.975586,-35.6391,0.5091,,,
161,25130.115967,4343.555886,-35.9984,0.4867,,,
162,23839.374023,4617.239635,-36.2677,0.5073,,,
163,24564.215088,4998.671376,-36.3656,0.5045,,,
164,23285.771973,6754.818981,-37.8373,0.4957,,,
165,22349.365723,5373.97583,-36.8727,0.4952,,,
166,33708.611328,15885.704545,-41.6613,0.5041,,,
167,36502.870605,15819.283736,-41.6423,0.5022,,,
168,35286.438477,15671.692205,-41.6004,0.4497,,,
169,34714.631348,14958.924538,-41.3935,0.4067,,,
170,29764.272461,11556.380415,-40.2439,0.3886,,,
171,33708.595215,15885.692827,-41.6613,0.5041,,,
172,36502.759766,15819.26891,-41.6423,0.5023,,,
173,35286.12207,15671.668279,-41.6004,0.4496,,,
174,33708.526855,15885.678933,-41.6613,0.5041,,,
175,36501.768066,15819.202282,-41.6423,0.5023,,,
176,35285.666016,15671.824485,-41.6005,0.4493,,,
177,34714.345215,14959.357333,-41.3937,0.406,,,
178,33708.557617,15885.680265,-41.6613,0.5041,,,
179,28181.845537,4169.46647,-34.811,0.3588,,,
180,20994.512353,3397.227185,-33.896,0.3775,,,
181,15774.388497,3409.245982,-32.6534,0.4127,,,
182,12730.465332,3107.083799,-31.8818,0.5302,,,
183,11209.656646,3095.501891,-30.4179,0.4897,,,
184,10394.487057,3229.520968,-33.8797,0.4472,,,
185,9976.93826,3020.821588,-32.199,0.4409,,,
186,9738.911137,2900.578144,-33.5918,0.4657,,,
187,9418.951957,3157.038788,-33.3983,0.4624,,,
188,9308.318774,2790.230399,-33.1615,0.4705,,,
189,9074.638693,2666.686774,-31.1928,0.4753,,,
190,8863.065531,2510.220258,-29.5771,0.4931,,,
191,8742.147365,2605.963041,-30.8498,0.5134,,,
192,8594.425431,3048.689988,-34.0341,0.4492,,,
193,8535.015403,2467.344422,-32.5002,0.4954,,,
194,8471.295898,3001.694383,-33.2358,0.4719,,,
195,8423.365462,2600.440648,-32.1922,0.4893,,,
196,8227.40111,2344.67839,-30.2574,0.5051,,,
197,8193.82932,2505.351276,-30.7197,0.4985,,,
198,8131.353223,2270.941578,-30.9896,0.5027,,,
199,8113.547607,3041.80703,-32.8812,0.4875,,,
200,8040.794396,2519.703719,-31.0915,0.4815,,,
201,8135.008308,2412.655273,-31.6002,0.5139,,,
202,8073.682582,2447.783919,-31.2288,0.5028,,,
203,7926.975446,2538.199513,-32.2081,0.4951,,,
204,7838.144891,2369.268944,-31.4545,0.5217,,,
205,7900.619502,2413.083844,-30.5537,0.5044,,,
206,7857.314583,2458.16738,-31.876,0.5078,,,
207,7672.594722,2309.286503,-30.8455,0.5211,,,
208,7746.977553,2501.689695,-31.8892,0.5004,,,
209,7902.58149,2710.538295,-32.3797,0.4751,,,
210,7731.299707,2306.15091,-31.2632,0.5095,,,
211,7479.771817,2320.596325,-31.7104,0.5202,,,
212,7561.575036,2476.708212,-31.8201,0.4889,,,
213,7449.944352,2909.972859,-32.887,0.5016,,,
214,7603.003131,2349.840149,-32.222,0.5142,,,
215,7638.553712,2204.403561,-30.8303,0.5286,,,
216,7414.198248,2503.384583,-31.5932,0.4915,,,
217,7611.746237,2703.599316,-33.0628,0.5067,,,
218,7466.261927,2327.123681,-32.0226,0.5114,,,
219,7280.136228,2231.403295,-30.5523,0.5038,,,
220,7697.182594,2405.159937,-31.7808,0.5077,,,
221,7258.993739,2496.074683,-30.7147,0.5172,,,
222,7512.165875,2221.040736,-30.8112,0.5173,,,
223,7541.445617,2215.404084,-31.5704,0.5211,,,
224,7392.834584,2276.484813,-31.1469,0.5042,,,
225,7498.71632,2559.506442,-32.8434,0.4965,,,
226,7351.586952,2326.406238,-32.128,0.5124,,,
227,7138.148117,2313.308283,-31.8375,0.5191,,,
228,7187.383405,2353.651975,-31.1539,0.5229,,,
229,7157.686204,2205.866531,-30.416,0.5069,,,
230,7118.17229,2205.994157,-31.5266,0.5258,,,
231,7121.537494,2229.852845,-31.7468,0.5157,,,
232,7077.25008,2640.523869,-33.0614,0.5023,,,
233,7713.450661,2658.05009,-33.0773,0.4748,,,
234,7757.755164,2365.451642,-31.3695,0.5039,,,
235,7313.732273,2244.288684,-31.3139,0.5105,,,
236,7722.32824,2267.215155,-31.419,0.5119,,,
237,7111.29646,2365.65967,-32.1831,0.5079,,,
238,6961.610767,2504.790746,-32.6748,0.5173,,,
239,6978.57168,2383.983259,-32.0124,0.5108,,,
240,7135.369406,2275.431013,-31.4395,0.5237,,,
241,7716.087496,2358.967312,-30.7476,0.5036,,,
242,7306.127524,2133.175327,-31.2889,0.5177,,,
243,6978.247495,2133.284059,-30.5586,0.5209,,,
244,7031.931137,2189.648286,-31.3834,0.5144,,,
245,6915.469747,2372.561061,-32.1854,0.5116,,,
246,7020.385231,2230.89845,-30.9408,0.517,,,
247,7090.626581,2217.674636,-31.009,0.5131,,,
248,38846.581481,11663.475147,-36.5461,0.3464,,,
249,34773.631243,7837.831972,-38.3083,0.3583,,,
250,36793.036102,8069.609099,-38.3221,0.3554,,,
251,32558.444173,7286.41088,-38.0186,0.3633,,,
252,32027.375187,6530.09047,-37.5942,0.3613,,,
253,31649.051109,6084.52206,-37.2778,0.3604,,,
254,31416.11899,6120.936061,-37.3344,0.3565,,,
255,31201.256317,5605.930514,-36.9473,0.3601,,,
256,31031.395497,5260.786473,-36.4273,0.3601,,,
257,30879.148168,4974.478233,-36.1123,0.3638,,,
258,30703.941186,5092.459551,-35.7628,0.3618,,,
259,30560.778787,4847.741357,-35.981,0.3623,,,
260,30360.568144,4811.91495,-35.9666,0.3653,,,
261,30235.70393,4636.305731,-35.7749,0.3616,,,
262,30055.309606,4605.476973,-35.9623,0.3653,,,
263,29908.622566,4406.320632,-35.359,0.3611,,,
264,29799.455124,4731.313749,-35.9942,0.3689,,,
265,29696.589654,4254.221988,-34.8375,0.367,,,
266,29578.732698,4120.194725,-34.1727,0.3725,,,
267,29410.561293,3963.61011,-34.3193,0.38,,,
268,29296.632453,4404.976591,-35.6298,0.3797,,,
269,29242.667628,3941.217742,-34.8233,0.3812,,,
270,29100.976425,3913.844566,-34.9164,0.3906,,,
271,29014.539232,3696.622814,-34.2605,0.3997,,,
272,28948.851799,3760.337256,-34.5406,0.4008,,,
273,28847.406325,3674.554971,-34.6838,0.3952,,,
274,28763.127239,3724.734556,-33.5549,0.4066,,,
275,28713.395568,3592.406477,-33.7182,0.4008,,,
276,28668.281856,3473.755392,-33.1052,0.4059,,,
277,28564.668893,3475.109939,-33.4947,0.417,,,
278,28489.364544,4671.55555,-35.6392,0.4121,,,
279,28430.811436,3412.217771,-32.9951,0.4137,,,
